index,label
0,0
1,0
2,0
3,0
7,0
11,0
13,0
14,0
16,0
17,0
20,0
21,0
22,1
23,0
24,0
29,1
30,0
31,0
33,1
35,0
36,0
37,1
39,0
40,0
41,0
44,0
46,0
47,0
49,0
50,0
52,0
53,0
54,1
55,0
57,1
58,0
59,1
61,0
62,0
63,1
64,0
66,0
68,0
69,0
71,0
73,0
74,0
75,0
76,0
77,0
78,0
79,1
80,0
81,0
82,0
85,0
87,0
89,0
93,0
95,1
96,0
101,0
102,0
103,1
106,0
107,0
114,0
116,0
117,1
118,0
122,1
123,0
125,0
126,0
129,0
132,0
133,0
134,0
136,0
137,0
138,0
139,0
141,1
142,0
144,0
149,0
150,0
151,0
153,0
154,0
155,0
157,0
159,0
165,1
166,0
169,0
171,0
172,1
175,1
179,0
180,1
182,0
183,0
186,0
187,0
189,0
192,1
194,0
195,0
197,0
198,0
200,0
201,0
209,1
211,0
213,0
214,0
215,0
216,1
217,0
219,0
220,0
221,0
223,0
225,0
226,0
231,0
233,1
236,0
237,1
241,1
242,0
244,1
250,0
251,0
254,0
255,0
260,1
261,0
262,0
263,0
265,1
266,0
267,1
268,0
269,0
276,0
279,0
280,0
281,0
282,0
287,0
288,0
289,0
292,1
293,1
295,1
296,1
297,1
299,0
300,0
302,1
303,0
305,0
306,0
311,0
312,0
313,0
314,0
316,0
317,0
318,0
320,0
325,0
326,0
328,0
332,0
336,0
337,0
339,1
341,1
342,1
343,0
344,0
345,0
348,1
349,0
350,0
351,1
354,0
355,0
356,1
357,0
358,0
361,0
366,1
367,0
369,0
370,0
371,1
372,0
374,0
375,0
376,0
379,0
382,0
384,1
386,1
391,1
392,0
393,0
394,0
396,0
400,0
404,1
405,0
408,0
411,0
413,1
414,1
415,0
416,0
417,0
419,0
421,0
422,0
425,0
426,1
429,1
430,0
433,0
434,0
436,0
440,0
441,0
442,0
444,1
446,0
447,0
449,0
450,1
451,0
453,0
454,0
455,0
456,0
458,0
460,0
461,0
467,0
470,0
473,0
475,1
477,0
479,0
482,1
483,1
484,0
485,0
486,0
488,1
490,0
492,0
494,0
495,0
496,0
500,0
501,0
502,0
503,1
504,0
505,0
506,0
507,0
508,0
509,0
511,0
514,0
516,0
518,0
519,1
520,0
521,0
523,0
524,0
528,0
530,1
531,0
532,0
533,0
536,0
537,0
538,0
539,1
545,1
546,0
547,1
549,0
551,0
552,0
553,0
555,0
557,0
558,0
559,0
562,1
565,0
566,0
567,0
568,0
570,0
571,0
573,0
574,0
575,1
576,0
577,0
580,0
581,1
582,0
584,0
585,0
588,1
590,0
592,0
593,0
594,0
596,0
597,0
598,1
599,0
600,0
606,0
610,0
611,0
612,0
615,0
616,0
619,0
621,0
623,0
626,0
627,0
628,0
629,0
630,0
631,0
633,0
635,0
637,0
638,0
640,0
643,0
644,1
647,0
649,0
651,0
653,0
655,0
657,0
660,0
661,0
663,0
668,0
670,0
671,0
672,1
673,0
674,0
675,0
679,0
680,0
682,0
688,0
689,0
690,0
692,0
693,1
694,0
695,0
697,0
698,0
699,1
702,0
705,0
708,0
714,0
715,0
716,0
717,0
721,0
723,0
724,0
726,0
729,0
730,1
732,0
733,1
735,0
736,0
737,0
738,0
739,0
741,0
742,0
743,0
746,0
747,0
748,0
749,1
751,0
752,0
753,0
754,0
756,0
759,0
761,0
762,1
763,0
765,0
766,0
767,0
768,0
769,0
771,1
774,0
776,0
780,0
782,1
784,0
788,0
789,1
794,0
799,0
800,1
801,0
802,1
803,0
806,0
816,1
817,0
818,0
819,1
820,0
821,0
822,0
823,0
827,0
828,0
829,1
833,0
834,0
837,0
839,1
840,0
845,0
848,0
849,0
854,0
856,0
857,0
859,0
860,0
861,0
862,0
863,0
864,0
870,0
872,0
873,0
874,0
875,0
880,0
881,0
884,0
885,0
888,0
889,0
890,0
892,0
893,1
894,0
895,0
896,0
899,0
900,0
903,0
905,0
907,0
911,1
912,0
913,0
915,0
916,0
921,0
923,0
926,0
929,0
932,0
933,0
934,0
939,0
940,0
941,0
943,0
944,1
949,0
950,0
951,0
956,1
957,1
958,0
961,0
962,0
963,0
964,0
967,0
968,0
969,0
971,0
972,0
973,0
974,1
975,0
976,0
977,0
978,0
979,0
981,1
982,0
984,1
987,0
989,0
